name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;631;0;980;3087;1432;3087;1200;0
header;192;207;192;243;1877;243;1877;207
A;1025;279;1025;303;1043;303;1043;279
D;978;456;978;487;1012;487;1012;456
A;1152;723;1152;750;1166;750;1166;723
B;1108;729;1108;740;1119;740;1119;729
A;1096;867;1096;883;1106;883;1106;867
A;1218;908;1218;917;1227;917;1227;908
B;1022;925;1022;950;1040;950;1040;925
C;1016;1636;1016;1661;1036;1661;1036;1636
D;1018;2275;1018;2300;1037;2300;1037;2275
A;1241;2704;1241;2721;1252;2721;1252;2704
