name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;458;0;596;3077;1039;3077;1085;0
header;215;113;215;151;1890;151;1890;113
A;1042;192;1042;217;1060;217;1060;192
A;485;343;485;349;490;349;490;343
B;1041;861;1041;885;1059;885;1059;861
A;580;1107;580;1112;585;1112;585;1107
B;829;1227;829;1247;843;1247;843;1227
C;1031;1488;1031;1513;1051;1513;1051;1488
A;1013;1498;1013;1503;1018;1503;1018;1498
A;1013;1514;1013;1519;1019;1519;1019;1514
B;557;1946;557;1962;568;1962;568;1946
C;644;2167;644;2188;660;2188;660;2167
D;1018;2197;1018;2223;1039;2223;1039;2197
C;667;2617;667;2639;683;2639;683;2617
A;975;2883;975;2886;979;2886;979;2883
